Mes;Região;Empresa;Manifestacao;Item;Quantidade
01/2017;RMSP;ABC;Reclamação;Direção Perigosa;1
01/2017;RMSP;ABC;Reclamação;Horário;4
01/2017;RMSP;ABC;Reclamação;Inobservância de Ponto;3
01/2017;RMSP;ABC;Reclamação;Passageiro Especial;1
01/2017;RMSP;ABC;Reclamação;Tripulação/Funcionário;2
01/2017;RMSP;ABC;Reclamação;Veículo;1
01/2017;RMSP;ABC SISTEMA-Metra;Elogio;Atendimento;1
01/2017;RMSP;ABC SISTEMA-Metra;Informação;Itinerário;1
01/2017;RMSP;ABC SISTEMA-Metra;Informação;Serviços;3
01/2017;RMSP;ABC SISTEMA-Metra;Informação;Tarifa;1
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Direção Perigosa;1
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Horário;12
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Inobservância de Ponto;4
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Mau Atendimento ao Idoso;2
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Serviços;2
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Superlotação;4
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Terminal;4
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Tripulação/Funcionário;12
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Veículo;11
01/2017;RMSP;ABC SISTEMA-Metra;Sugestão;Itinerário;1
01/2017;RMSP;ABC SISTEMA-Metra;Sugestão;Terminal;1
01/2017;RMSP;ABC SISTEMA-Metra;Sugestão;Veículo;1
01/2017;RMVPLN;ABC TRANSPORTES;Informação;Horário;1
01/2017;RMVPLN;ABC TRANSPORTES;Informação;Tarifa;1
01/2017;RMVPLN;ABC TRANSPORTES;Reclamação;Horário;7
01/2017;RMVPLN;ABC TRANSPORTES;Reclamação;Tarifa;2
01/2017;RMVPLN;ABC TRANSPORTES;Reclamação;Terminal;1
01/2017;RMSP;ANHANGUERA;Informação;Horário;1
01/2017;RMSP;ANHANGUERA;Informação;Itinerário;1
01/2017;RMSP;ANHANGUERA;Informação;Serviços;9
01/2017;RMSP;ANHANGUERA;Reclamação;Direção Perigosa;6
01/2017;RMSP;ANHANGUERA;Reclamação;Horário;59
01/2017;RMSP;ANHANGUERA;Reclamação;Inobservância de Ponto;26
01/2017;RMSP;ANHANGUERA;Reclamação;Itinerário;4
01/2017;RMSP;ANHANGUERA;Reclamação;Serviços;2
01/2017;RMSP;ANHANGUERA;Reclamação;Superlotação;4
01/2017;RMSP;ANHANGUERA;Reclamação;Tarifa;7
01/2017;RMSP;ANHANGUERA;Reclamação;Terminal;1
01/2017;RMSP;ANHANGUERA;Reclamação;Tripulação/Funcionário;33
01/2017;RMSP;ANHANGUERA;Reclamação;Veículo;7
01/2017;RMSP;ANHANGUERA;Sugestão;Itinerário;1
01/2017;RMSP;ANHANGUERA;Sugestão;Tarifa;1
01/2017;RMC;BOA VISTA;Informação;Greve;4
01/2017;RMC;BOA VISTA;Informação;Horário;1
01/2017;RMC;BOA VISTA;Informação;Itinerário;1
01/2017;RMC;BOA VISTA;Informação;Serviços;4
01/2017;RMC;BOA VISTA;Reclamação;Atendimento;1
01/2017;RMC;BOA VISTA;Reclamação;Horário;50
01/2017;RMC;BOA VISTA;Reclamação;Inobservância de Ponto;4
01/2017;RMC;BOA VISTA;Reclamação;Itinerário;2
01/2017;RMC;BOA VISTA;Reclamação;Tarifa;1
01/2017;RMC;BOA VISTA;Reclamação;Tripulação/Funcionário;6
01/2017;RMC;BOA VISTA;Reclamação;Veículo;2
01/2017;RMC;BOA VISTA;Sugestão;Tripulação/Funcionário;2
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Elogio;Atendimento;2
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Carteira Passageiro Especial;2
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Horário;2
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Isenção de Tarifa;1
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Passe Escolar;2
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Serviços;7
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Vale-Transporte;8
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Atendimento;3
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Direção Perigosa;3
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Horário;21
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Inobservância de Ponto;18
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Integração;5
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Itinerário;7
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Mau Atendimento ao Idoso;1
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Passageiro Especial;5
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Superlotação;7
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Tarifa;5
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Terminal;1
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Tripulação/Funcionário;18
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Vale-Transporte;1
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Veículo;9
01/2017;RMBS;BR MOBILIDADE VLT;Informação;Itinerário;1
01/2017;RMBS;BR MOBILIDADE VLT;Reclamação;Inobservância de Ponto;2
01/2017;RMBS;BR MOBILIDADE VLT;Reclamação;Tarifa;1
01/2017;RMBS;BR MOBILIDADE VLT;Reclamação;Tripulação/Funcionário;1
01/2017;RMBS;BR MOBILIDADE VLT;Sugestão;Serviços;1
01/2017;RMVPLN;BREDA SERVIÇOS;Reclamação;Horário;1
01/2017;RMVPLN;BREDA SERVIÇOS;Reclamação;Serviços;1
01/2017;RMVPLN;BREDA SERVIÇOS;Reclamação;Tarifa;1
01/2017;RMVPLN;BREDA SERVIÇOS;Reclamação;Veículo;1
01/2017;RMVPLN;CINTER;Informação;Tarifa;1
01/2017;RMVPLN;CINTER;Reclamação;Superlotação;1
01/2017;RMSP;CMT;Informação;Integração;5
01/2017;RMSP;CMT;Informação;Passe Escolar;6
01/2017;RMSP;CMT;Informação;Serviços;27
01/2017;RMSP;CMT;Informação;Tarifa;4
01/2017;RMSP;CMT;Informação;Vale-Transporte;17
01/2017;RMSP;CMT;Reclamação;Atendimento;1
01/2017;RMSP;CMT;Reclamação;Integração;5
01/2017;RMSP;CMT;Reclamação;Serviços;5
01/2017;RMSP;CMT;Reclamação;Tarifa;5
01/2017;RMSP;CMT;Reclamação;Terminal;1
01/2017;RMSP;CMT;Reclamação;Tripulação/Funcionário;1
01/2017;RMSP;CMT;Reclamação;Vale-Transporte;4
01/2017;RMSP;EAOSA;Informação;Itinerário;1
01/2017;RMSP;EAOSA;Reclamação;Horário;11
01/2017;RMSP;EAOSA;Reclamação;Inobservância de Ponto;1
01/2017;RMSP;EAOSA;Reclamação;Tripulação/Funcionário;3
01/2017;RMSP;EAOSA;Reclamação;Veículo;1
01/2017;RMSP;Empresa Municipal;Elogio;Atendimento;1
01/2017;RMSP;Empresa Municipal;Reclamação;Tripulação/Funcionário;1
01/2017;RMBS;EMTU;Informação;Carteira Passageiro Especial;22
01/2017;RMSP;EMTU;Informação;Carteira Passageiro Especial;11
01/2017;RMS;EMTU;Informação;Carteira Passageiro Especial;7
01/2017;RMC;EMTU;Informação;Carteira Passageiro Especial;1
01/2017;RMC;EMTU;Informação;Greve;5
01/2017;RMSP;EMTU;Informação;Horário;17
01/2017;RMBS;EMTU;Informação;Horário;3
01/2017;RMS;EMTU;Informação;Horário;1
01/2017;RMC;EMTU;Informação;Horário;1
01/2017;RMSP;EMTU;Informação;Integração;27
01/2017;RMSP;EMTU;Informação;Itinerário;36
