MÊS;VT;COMUM;ESCOLAR;EMPRESARIAL;SÊNIOR;ESPECIAL;TOTAL
jan/2016;2.362.297;930.539;634.862;14.029;660.924;254.659;4.857.310
fev/2016;2.376.246;952.264;635.876;14.245;670.826;253.969;4.903.426
mar/2016;2.390.154;972.503;641.946;14.490;681.028;254.719;4.954.840
abr/2016;2.404.275;987.127;656.059;14.812;690.318;256.327;5.008.918
mai/2016;2.412.930;998.731;661.987;14.990;699.546;257.652;5.045.836
jun/2016;2.423.618;1.006.805;600.006;15.167;706.623;258.684;5.010.903
jul/2016;2.438.601;1.016.317;599.598;16.703;714.912;260.330;5.046.461
ago/2016;2.451.088;1.025.558;671.693;17.206;723.616;261.724;5.150.885
set/2016;2.462.856;1.033.913;676.275;17.350;731.945;263.044;5.185.383
out/2016;2.474.222;1.043.795;679.708;16.867;729.176;264.291;5.208.059
nov/2016;2.485.536;1.052.869;658.262;16.991;734.782;265.403;5.213.843
dez/2016;2.495.511;1.061.246;677.911;17.077;742.554;266.620;5.260.919
jan/2017;2.506.996;1.077.697;681.038;17.227;753.759;267.435;5.304.152
fev/2017;2.517.910;1.090.366;685.125;15.732;761.661;268.322;5.339.116
mar/2017;2.530.720;1.103.720;692.305;15.930;772.164;269.413;5.384.252
abr/2017;2.538.053;1.147.254;698.989;13.933;780.690;270.399;5.449.318
mai/2017;2.550.849;1.170.468;705.749;13.886;792.008;271.911;5.504.871
jun/2017;2.559.987;1.180.097;685.874;14.068;800.738;272.207;5.512.971
jul/2017;2.572.452;1.242.286;703.011;14.186;812.441;273.397;5.617.773
ago/2017;2.584.631;1.286.937;709.931;14.437;823.828;274.634;5.694.398
set/2017;2.598.964;1.324.094;716.040;14.552;835.820;275.904;5.765.374
out/2017;2.610.191;1.345.624;719.200;14.870;847.183;277.261;5.814.329
nov/2017;2.620.269;1.362.850;682.900;15.003;857.210;277.683;5.815.915
dez/2017;2.633.379;1.383.051;721.440;15.132;868.836;279.893;5.901.731
jan/2018;2.645.273;1.393.917;722.870;15.321;881.285;281.078;5.939.744
fev/2018;2.658.433;1.407.325;726.627;15.431;890.494;281.921;5.980.231
mar/2018;2.672.594;1.423.494;733.751;15.510;904.002;283.228;6.032.579
abr/2018;2.686.190;1.436.435;738.860;15.800;916.326;284.436;6.078.047
mai/2018;2.700.567;1.448.855;743.983;16.003;928.930;285.510;6.123.848
jun/2018;2.713.077;1.459.105;745.942;16.187;938.634;286.543;6.159.488
jul/2018;2.726.682;1.473.888;747.914;16.278;950.547;287.721;6.203.030
ago/2018;2.740.928;1.490.008;753.105;16.442;963.800;289.053;6.253.336
set/2018;2.764.562;1.504.006;765.909;16.599;984.290;293.892;6.315.103
out/2018;2.792.348;1.518.649;772.286;16.809;1.003.949;299.642;6.374.675
nov/2018;2.815.140;1.530.624;774.948;16.965;1.226.420;304.061;6.627.019
dez/2018;2.835.464;1.542.100;778.470;17.117;1.244.897;308.131;6.673.412
jan/2019;2.860.237;1.559.962;792.225;17.356;1.329.347;313.106;6.801.365
fev/2019;2.886.215;1.575.725;823.726;17.616;1.355.635;318.171;6.890.197
mar/2019;2.912.652;1.591.496;859.769;17.789;1.377.534;322.829;6.979.234
abr/2019;2.938.782;1.607.044;881.633;18.073;1.410.326;327.722;7.064.913
mai/2019;2.966.329;1.625.067;892.748;18.184;1.432.378;333.627;7.131.532
jun/2019;2.990.396;1.639.929;897.518;18.250;1.451.793;337.918;7.184.075
jul/2019;3.017.397;1.656.412;902.643;18.415;1.474.204;343.599;7.244.293
ago/2019;3.045.166;1.673.495;911.842;18.663;1.494.966;349.345;7.307.769
set/2019;3.070.967;1.690.638;920.217;18.745;1.515.652;354.658;7.367.944
out/2019;3.096.704;1.713.230;926.195;18.841;1.538.948;360.330;7.428.627
nov/2019;3.119.655;1.731.557;928.659;18.942;1.559.736;364.982;7.479.482
dez/2019;3.140.048;1.747.602;929.246;19.045;1.575.002;368.789;7.519.535
jan/2020;3.165.622;1.768.883;941.355;19.117;1.599.831;373.835;7.587.093
fev/2020;3.190.077;1.784.431;969.667;19.222;1.617.274;377.670;7.661.138
mar/2020;3.209.175;1.794.652;1.013.871;19.260;1.630.027;381.522;7.741.045
abr/2020;3.215.655;1.795.932;1.021.721;19.260;1.630.152;382.874;7.756.852
mai/2020;3.221.385;1.797.390;1.023.142;19.260;1.630.513;384.055;7.765.545
jun/2020;3.228.995;1.800.349;1.023.999;19.312;1.631.096;385.810;7.776.350
jul/2020;3.238.618;1.804.133;1.026.107;19.364;1.632.086;388.361;7.791.622
ago/2020;3.250.599;1.808.260;1.027.999;19.366;1.634.990;391.781;7.811.819
set/2020;3.265.335;1.812.326;1.031.144;19.404;1.643.666;395.308;7.841.903
out/2020;3.283.104;1.817.540;1.080.908;19.450;1.655.863;399.344;7.925.669
nov/2020;3.301.968;1.823.358;1.082.758;19.524;1.668.179;402.769;7.962.124
dez/2020;3.319.103;1.828.931;1.085.197;19.548;2.245.358;404.954;8.561.062
jan/2021;3.335.991;1.836.159;1.089.345;19.595;2.253.638;407.310;8.592.734
fev/2021;3.353.454;1.844.702;1.096.933;19.632;2.259.711;410.396;8.626.944
mar/2021;3.371.193;1.850.227;1.102.976;19.736;2.260.939;413.196;8.654.754
abr/2021;3.386.957;1.856.326;1.105.457;19.752;2.262.482;416.339;8.677.685
mai/2021;3.405.265;1.863.238;1.108.575;19.823;2.267.633;420.048;8.707.971
jun/2021;3.423.837;1.871.026;1.111.292;19.912;2.273.441;423.996;8.739.016
jul/2021;3.443.816;1.879.284;1.114.527;20.024;2.281.701;427.754;8.774.248
ago/2021;3.466.493;1.888.702;1.122.202;20.093;2.290.597;432.290;8.818.032
set/2021;3.488.096;1.897.871;1.128.265;20.158;2.367.537;436.557;8.926.905
out/2021;3.510.099;1.914.652;1.132.580;20.217;2.376.754;440.675;8.966.558
nov/2021;3.529.584;1.922.659;1.136.797;20.283;2.385.293;445.260;9.003.384
dez/2021;3.543.889;1.926.987;1.138.005;20.289;2.387.914;449.234;9.025.492
jan/2022;3.560.420;1.931.650;1.138.307;20.321;2.390.557;453.831;9.049.565
